DATE,COMPOUND,BLOCK,DESCRIPTION,NAME,ALARM TYPE Type,ALARM DESC,ALM_RTN,PRIORITY,VALUE,ALARM VALUE,UNITS,LOCATION,GRP
2026-07-22 00:29:40.8,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),RTN,5,2.20977,2,INH2O,!hist14!CP1016,2
2026-07-22 00:30:28.4,1BWCP_PURGE,OUTLET_TEMP,BWCP PURGE COOLER OUTLET TEMP,,HIABS,,RTN,2,101.991,105,DEGF,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1005,1
2026-07-22 00:30:50.4,1SBRS,B13,R.H. SOOT BLOWING REG FBK,,HIABS,R.H. SOOTBLOWER FB @ 90%,RTN,5,88.3828,90,PCT,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1009,1
2026-07-22 00:31:23.3,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),ALM,5,1.99414,2,INH2O,!hist14!CP1016,2
2026-07-22 00:31:32.8,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),RTN,5,2.20371,2,INH2O,!hist14!CP1016,2
2026-07-22 00:31:51.3,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),ALM,5,1.98359,2,INH2O,!hist14!CP1016,2
2026-07-22 00:32:01.8,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),RTN,5,2.21426,2,INH2O,!hist14!CP1016,2
2026-07-22 00:32:37.8,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),ALM,5,1.9957,2,INH2O,!hist14!CP1016,2
2026-07-22 00:32:44.3,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),RTN,5,2.20371,2,INH2O,!hist14!CP1016,2
2026-07-22 00:33:53.2,1AB_SURGEA,ABXV5104AAL,SURGE BIN AIRLCK ATOP VLV,SURGE BIN AIR,STATE,FAIL,ALM,3,,,,!WP1002!WP1011!WP1001!hist14!CP1020,1
2026-07-22 00:34:04.2,1AB_SURGEA,ABXV5104AAL,SURGE BIN AIRLCK ATOP VLV,SURGE BIN AIR,STATE,OK,RTN,3,,,,!WP1002!WP1011!WP1001!hist14!CP1020,1
2026-07-22 00:34:59.9,1MC,B37,MILL C TEMP,,HIABS,>150 DEGF,RTN,1,144.937,150,DEGF,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1001,1
2026-07-22 00:35:11.8,1TWIP,DIFFALM2,REHEAT BOWL DEVIATION ALM,,HIABS,TWIP ALARM 50 DEG DEVIATION,ALM,3,94.9276,50,DEG,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1006,1
2026-07-22 00:35:11.8,1TWIP,DIFFALM2,REHEAT BOWL DEVIATION ALM,,HHABS,TWIP ALARM 75 DEG DEVIATION,ALM,1,94.9276,75,DEG,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1006,1
2026-07-22 00:35:13.8,1TWIP,DIFFALM2,REHEAT BOWL DEVIATION ALM,,HIABS,TWIP ALARM 50 DEG DEVIATION,RTN,3,9.55676,50,DEG,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1006,1
2026-07-22 00:35:13.8,1TWIP,DIFFALM2,REHEAT BOWL DEVIATION ALM,,HHABS,TWIP ALARM 75 DEG DEVIATION,RTN,1,9.55676,75,DEG,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1006,1
2026-07-22 00:37:11.4,1ULD,B27A,UNIT OFF AGC,,STATE,AGC UNAVAILABLE,ALM,5,,,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1001,1
2026-07-22 00:38:05.0,1MELIM,ZDS5504,WET/DRY INTFC VLV  DM DEV,,HIDEV,HIGH DEVIATION ALARM,RTN,3,53.8672,57.5,%,!hist14!CP1017,2
2026-07-22 00:39:16.3,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),ALM,5,1.9916,2,INH2O,!hist14!CP1016,2
2026-07-22 00:39:19.3,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),RTN,5,2.20898,2,INH2O,!hist14!CP1016,2
2026-07-22 00:39:36.0,1MELIM,ZDS5504,WET/DRY INTFC VLV  DM DEV,,HIDEV,HIGH DEVIATION ALARM,ALM,3,98.7949,5,%,!hist14!CP1017,2
2026-07-22 00:40:16.8,1VLV_GSM_ALM,MT_VLV_ALM1,MARK VIE VALVE ALARM,,STA_3,STEAM PIPE DRAIN VALVE TROUBLE,ALM,5,0,0,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1011,1
2026-07-22 00:40:43.3,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),ALM,5,1.9998,2,INH2O,!hist14!CP1016,2
2026-07-22 00:40:44.8,1MON_GSM_ALM,MON_ALM13,MARK VIE EQUIPMENT MONITOR ALARM,,STA_6,HYD FLUID PUMP #2 MTR CUR HIGH,ALM,5,0,0,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1011,1
2026-07-22 00:40:48.8,1MON_GSM_ALM,MON_ALM13,MARK VIE EQUIPMENT MONITOR ALARM,,STA_6,HYD FLUID PUMP #2 MTR CUR OK,RTN,5,0,0,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1011,1
2026-07-22 00:40:55.8,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),RTN,5,2.21641,2,INH2O,!hist14!CP1016,2
2026-07-22 00:40:55.3,1VLV_GSM_ALM,MT_VLV_ALM1,MARK VIE VALVE ALARM,,STA_3,STEAM PIPE DRAIN VALVE OK,RTN,5,0,0,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1011,1
2026-07-22 00:41:12.8,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),ALM,5,1.97012,2,INH2O,!hist14!CP1016,2
2026-07-22 00:41:18.3,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),RTN,5,2.24941,2,INH2O,!hist14!CP1016,2
2026-07-22 00:41:30.8,1MON_GSM_ALM,MON_ALM13,MARK VIE EQUIPMENT MONITOR ALARM,,STA_6,HYD FLUID PUMP #2 MTR CUR HIGH,ALM,5,0,0,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1011,1
2026-07-22 00:41:32.8,1MON_GSM_ALM,MON_ALM13,MARK VIE EQUIPMENT MONITOR ALARM,,STA_6,HYD FLUID PUMP #2 MTR CUR OK,RTN,5,0,0,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1011,1
2026-07-22 00:41:59.4,1ULD,B27A,UNIT OFF AGC,,STATE,,RTN,5,,,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1001,1
2026-07-22 00:42:05.3,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),ALM,5,1.99668,2,INH2O,!hist14!CP1016,2
2026-07-22 00:42:12.3,1SCRA_IDSAV,SLPDI5416A,A IDMPR SCR SA PSG TO FG DUCT DP,,LOABS,SCR A IN DMPR SEAL DP LOW (SERV),RTN,5,2.21543,2,INH2O,!hist14!CP1016,2
